iter	Passed	Remaining
816	997	223
817	998	222
818	999	220
819	1000	219
820	1001	218
821	1004	217
822	1005	216
823	1006	215
824	1007	213
825	1009	212
826	1010	211
827	1011	210
828	1012	208
829	1013	207
830	1014	206
831	1015	205
832	1016	203
833	1018	202
834	1022	201
835	1028	201
836	1029	200
837	1030	199
838	1032	198
839	1035	197
840	1036	195
841	1037	194
842	1038	193
843	1039	192
844	1040	190
845	1041	189
846	1042	188
847	1043	187
848	1044	185
849	1045	184
850	1046	183
851	1047	182
852	1050	180
853	1051	179
854	1052	178
855	1053	177
856	1054	175
857	1055	174
858	1056	173
859	1057	172
860	1058	170
861	1059	169
862	1068	169
863	1069	168
864	1070	167
865	1071	165
866	1072	164
867	1073	163
868	1074	162
869	1075	160
870	1076	159
871	1078	158
872	1079	156
873	1080	155
874	1082	154
875	1083	153
876	1084	152
877	1085	150
878	1086	149
879	1087	148
880	1088	146
881	1088	145
882	1090	144
883	1091	143
884	1094	142
885	1095	140
886	1097	139
887	1098	138
888	1100	137
889	1101	136
890	1102	134
891	1113	134
892	1114	133
893	1115	132
894	1116	131
895	1117	129
896	1119	128
897	1120	127
898	1121	125
899	1122	124
900	1123	123
901	1124	122
902	1125	120
903	1126	119
904	1127	118
905	1128	117
906	1129	115
907	1131	114
908	1132	113
909	1133	112
910	1134	110
911	1135	109
912	1142	108
913	1144	107
914	1147	106
915	1149	105
916	1151	104
917	1152	102
918	1153	101
919	1165	101
920	1166	100
921	1167	98
922	1168	97
923	1169	96
924	1171	94
925	1172	93
926	1173	92
927	1174	91
928	1176	89
929	1177	88
930	1178	87
931	1179	86
932	1180	84
933	1181	83
934	1182	82
935	1183	80
936	1184	79
937	1185	78
938	1186	77
939	1187	75
940	1188	74
941	1189	73
942	1190	71
943	1192	70
944	1193	69
945	1194	68
946	1204	67
947	1205	66
948	1208	64
949	1209	63
950	1210	62
951	1212	61
952	1213	59
953	1214	58
954	1215	57
955	1216	55
956	1217	54
957	1218	53
958	1219	52
959	1220	50
960	1221	49
961	1222	48
962	1224	47
963	1225	45
964	1226	44
965	1227	43
966	1228	41
967	1229	40
968	1230	39
969	1231	38
970	1232	36
971	1234	35
972	1236	34
973	1240	33
974	1256	32
975	1257	30
976	1258	29
977	1259	28
978	1260	27
979	1261	25
980	1262	24
981	1263	23
982	1264	21
983	1265	20
984	1266	19
985	1267	18
986	1269	16
987	1271	15
988	1272	14
989	1273	12
990	1274	11
991	1275	10
992	1276	8
993	1277	7
994	1278	6
995	1279	5
996	1280	3
997	1281	2
998	1282	1
999	1283	0
